Latitude,Longitude,Primary Type,Hour,Month
41.920896239,-87.757282573,ROBBERY,3,4
41.752570926,-87.608906554,ROBBERY,18,12
41.924228431,-87.747117979,ROBBERY,21,11
41.745097591,-87.600159412,ROBBERY,17,11
41.777783389,-87.615563072,ROBBERY,15,11
41.696868557,-87.542564289,ROBBERY,16,4
41.998944623,-87.661876448,ROBBERY,11,12
41.913927347,-87.700724705,ROBBERY,11,3
41.910947862,-87.678343579,ROBBERY,14,1
41.911208109,-87.678745045,ROBBERY,13,1
41.735176627,-87.650898907,ROBBERY,17,12
41.873709176,-87.749169703,ROBBERY,10,12
41.831200469,-87.613763088,ROBBERY,17,12
41.973264216,-87.658560747,ROBBERY,10,12
41.884484216,-87.629030004,ROBBERY,18,12
41.909492928,-87.75653279,ROBBERY,17,11
41.852041917,-87.68450201,ROBBERY,7,10
41.932667513,-87.761380994,ROBBERY,3,1
41.758625799,-87.601262593,ROBBERY,8,6
41.794685635,-87.654881342,ROBBERY,0,5
41.852879013,-87.629527333,ROBBERY,16,12
41.851507778,-87.727385695,ROBBERY,16,7
41.903775756,-87.639324074,ROBBERY,7,4
41.965860757,-87.701053221,ROBBERY,22,4
41.96283347,-87.647441758,ROBBERY,23,10
41.987833463,-87.65814575,ROBBERY,0,10
41.873190917,-87.659551948,ROBBERY,22,12
41.902141421,-87.765958681,ROBBERY,18,11
41.736495198,-87.615092361,ROBBERY,1,12
41.756550472,-87.592600053,ROBBERY,0,10
41.95468688,-87.833020605,ROBBERY,14,9
41.97090893,-87.71954795,ROBBERY,22,6
41.938676086,-87.655279469,ROBBERY,15,12
41.875508384,-87.656975687,ROBBERY,13,12
41.987362912,-87.702293402,ROBBERY,16,10
41.800967148,-87.642880822,ROBBERY,13,5
41.865333633,-87.733712889,ROBBERY,20,12
41.854010712,-87.724822014,ROBBERY,18,12
41.94426682,-87.649394139,ROBBERY,19,12
41.872677761,-87.693626729,ROBBERY,20,5
41.807503022,-87.752284096,ROBBERY,10,12
41.85384608,-87.715063469,ROBBERY,17,12
41.883496589,-87.68402596,ROBBERY,17,11
